City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,91.08,30,43,11.12,scattered clouds
338,Royan,FR,45.6285,-1.0281,50.0,100,90,9.22,overcast clouds
339,Neuquen,AR,-38.9516,-68.0591,98.6,18,0,2.3,clear sky
340,Pangody,RU,65.85,74.4859,-15.7,89,100,8.55,overcast clouds
341,Gat,IL,31.61,34.7642,61.0,100,43,1.99,scattered clouds
342,Kangaatsiaq,GL,68.3065,-53.4641,9.03,82,56,10.42,broken clouds
343,Pringsewu,ID,-5.3582,104.9744,73.11,94,94,2.66,overcast clouds
344,Decatur,US,39.8403,-88.9548,33.01,59,75,17.27,broken clouds
345,Anloga,GH,5.7947,0.8973,84.2,84,20,11.5,few clouds
346,Bowen,AU,-20.0167,148.2333,73.4,100,93,4.61,overcast clouds
347,Xining,CN,36.6167,101.7667,20.88,56,90,1.99,overcast clouds
