City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Thompson,55.7435,-97.8558,-7.6,77,90,11.5,CA,2021-02-04 20:41:39
70,Natal,-5.795,-35.2094,84.2,61,20,16.11,BR,2021-02-04 20:41:54
71,Norman Wells,65.282,-126.8329,-40.0,67,20,2.3,CA,2021-02-04 20:40:37
72,Itoman,26.1247,127.6694,59.0,63,20,6.91,JP,2021-02-04 20:41:55
73,Tasiilaq,65.6145,-37.6368,26.6,86,90,23.02,GL,2021-02-04 20:41:55
74,Sobolevo,54.4299,31.8996,15.84,95,100,15.19,RU,2021-02-04 20:41:55
75,Dikson,73.5069,80.5464,-7.11,91,100,10.33,RU,2021-02-04 20:41:40
76,Victoria,22.2855,114.1577,64.0,81,12,1.99,HK,2021-02-04 20:38:35
77,Kampot,10.6167,104.1833,75.2,88,20,2.3,KH,2021-02-04 20:41:55
78,Huarmey,-10.0681,-78.1522,75.09,64,100,9.01,PE,2021-02-04 20:41:55
79,Sechura,-5.5569,-80.8222,82.18,56,37,14.61,PE,2021-02-04 20:41:55
80,Kavaratti,10.5669,72.642,81.12,69,60,5.28,IN,2021-02-04 20:41:55
81,Batagay-Alyta,67.8006,130.4114,-25.29,83,95,1.83,RU,2021-02-04 20:41:56
82,Tessalit,20.1986,1.0114,72.27,18,71,14.34,ML,2021-02-04 20:41:56
83,Salinopolis,-0.6136,-47.3561,81.16,80,74,11.07,BR,2021-02-04 20:41:56
84,Shar,49.5886,81.0453,23.79,95,100,6.13,KZ,2021-02-04 20:41:56
85,Lebu,-37.6167,-73.65,70.12,56,1,4.88,CL,2021-02-04 20:40:29
86,Qaqortoq,60.7167,-46.0333,17.6,49,20,1.14,GL,2021-02-04 20:41:56
87,Cayenne,4.9333,-52.3333,80.6,83,90,8.05,GF,2021-02-04 20:41:55
88,Jamestown,42.097,-79.2353,35.6,48,1,8.05,US,2021-02-04 20:38:35
89,Ilulissat,69.2167,-51.1,-0.4,35,1,9.22,GL,2021-02-04 20:41:56
90,Guerrero Negro,27.9769,-114.0611,67.32,51,93,18.34,MX,2021-02-04 20:39:27
91,Caravelas,-17.7125,-39.2481,79.38,75,1,8.59,BR,2021-02-04 20:41:57
92,Ponta Do Sol,32.6667,-17.1,48.99,69,98,1.99,PT,2021-02-04 20:41:57
93,Yar-Sale,66.8333,70.8333,-21.46,87,56,6.82,RU,2021-02-04 20:41:57
94,La Arena,-5.3466,-80.7109,86.2,47,33,15.35,PE,2021-02-04 20:41:57
95,Pyshchug,58.8873,45.7134,10.53,96,100,4.21,RU,2021-02-04 20:41:57
96,Rocha,-34.4833,-54.3333,67.66,72,98,17.81,UY,2021-02-04 20:41:57
97,Hilo,19.7297,-155.09,73.4,78,75,13.8,US,2021-02-04 20:41:57
98,Chokurdakh,70.6333,147.9167,-9.98,86,10,19.71,RU,2021-02-04 20:41:57
99,Saint George,37.1041,-113.5841,54.0,29,1,2.75,US,2021-02-04 20:41:52
